0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,5,13,1,6,24,30,14,23,35,35,24,33,33,4,9,19,27
5,0,8,4,1,19,25,9,18,40,40,29,38,38,9,14,24,32
13,8,0,12,7,11,17,1,10,48,48,37,46,46,17,22,32,40
1,4,12,0,5,23,29,13,22,36,36,25,34,34,5,10,20,28
6,1,7,5,0,18,24,8,17,41,41,30,39,39,10,15,25,33
24,19,11,23,18,0,6,10,5,59,59,48,57,57,28,33,43,51
30,25,17,29,24,6,0,16,7,65,65,54,63,63,34,39,49,57
14,9,1,13,8,10,16,0,9,49,49,38,47,47,18,23,33,41
23,18,10,22,17,5,7,9,0,58,58,47,56,56,27,32,42,50
35,40,48,36,41,59,65,49,58,0,4,11,6,6,31,26,16,8
35,40,48,36,41,59,65,49,58,4,0,11,6,6,31,26,16,8
24,29,37,25,30,48,54,38,47,11,11,0,9,9,20,15,5,5
33,38,46,34,39,57,63,47,56,6,6,9,0,6,29,24,14,6
33,38,46,34,39,57,63,47,56,6,6,9,6,0,29,24,14,6
4,9,17,5,10,28,34,18,27,31,31,20,29,29,0,9,15,23
9,14,22,10,15,33,39,23,32,26,26,15,24,24,9,0,10,18
19,24,32,20,25,43,49,33,42,16,16,5,14,14,15,10,0,8
27,32,40,28,33,51,57,41,50,8,8,5,6,6,23,18,8,0
